area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	160:DAVID CHIU	161:ALEJANDRO FERNANDEZ
PCT7701	ED	1012	225	0	0	0	51	174	4	140	30
PCT7701	MV	1012	383	2	0	0	100	281	2	234	45
PCT7702	ED	704	117	0	0	0	24	93	0	65	28
PCT7702	MV	704	302	-1	0	0	65	238	3	196	39
PCT7703	MV	172	66	1	0	1	23	41	0	31	10
PCT7704	ED	977	208	0	0	0	47	161	3	128	30
PCT7704	MV	977	396	1	0	0	79	316	5	254	57
PCT7705	ED	547	123	0	0	0	22	101	1	90	10
PCT7705	MV	547	227	0	0	0	49	178	2	152	24
PCT7706	ED	821	189	0	0	0	31	158	1	128	29
PCT7706	MV	821	341	0	0	0	69	272	5	222	45
PCT7707	ED	839	200	1	0	0	40	159	1	130	28
PCT7707	MV	839	379	-1	0	0	88	292	0	259	33
PCT7708	ED	860	181	1	0	0	34	146	3	115	28
PCT7708	MV	860	400	-1	0	0	60	341	0	295	46
PCT7709	ED	383	85	1	0	0	16	68	0	45	23
PCT7709	MV	383	174	0	0	0	41	133	3	104	26
PCT7711	ED	772	162	0	0	0	34	128	2	97	29
PCT7711	MV	772	344	0	0	0	61	283	4	248	31
PCT7712	ED	524	131	0	0	0	31	100	0	73	27
PCT7712	MV	524	230	-1	0	0	44	187	4	143	40
PCT7801	ED	970	230	1	0	0	49	180	1	145	34
PCT7801	MV	970	424	-2	0	0	84	342	3	299	40
PCT7802	ED	762	205	-1	0	0	49	157	1	136	20
PCT7802	MV	762	313	2	0	0	61	250	0	216	34
PCT7803	ED	823	143	0	0	0	37	106	0	90	16
PCT7803	MV	823	412	-1	0	0	81	332	1	294	37
PCT7804	ED	891	236	0	0	0	46	190	4	156	30
PCT7804	MV	891	394	0	0	0	78	316	2	269	45
PCT7805	ED	785	176	1	0	0	21	154	1	125	28
