area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	150:NANCY PELOSI	151:STEPHEN JAFFE	152:SHAHID BUTTAR	153:RYAN A. KHOJASTEH	154:MICHAEL GOLDSTEIN	155:LISA REMMER	156:BARRY HERMANSON
PCT7547	MV	987	322	5	0	0	11	306	1	195	34	39	21	3	7	6
PCT7548	ED	1054	236	1	0	0	14	221	0	156	12	31	10	0	7	5
PCT7548	MV	1054	345	4	0	0	18	323	0	230	16	39	16	1	13	8
PCT7549	ED	785	165	-2	0	0	14	153	0	112	8	13	10	1	5	4
PCT7549	MV	785	281	1	0	0	18	262	0	178	16	22	10	5	19	12
PCT7551	ED	705	199	-1	0	1	17	182	0	137	12	14	6	2	6	5
PCT7551	MV	705	240	2	0	0	18	220	1	161	6	28	14	3	4	3
PCT7552	ED	718	191	0	0	0	8	183	0	143	12	18	3	1	3	3
PCT7552	MV	718	232	0	0	0	13	219	0	160	12	23	10	0	12	2
PCT7553	MV	171	87	2	0	0	3	82	0	63	5	3	5	2	4	0
PCT7554	ED	785	179	-1	0	0	9	171	0	126	10	17	6	2	7	3
PCT7554	MV	785	323	0	0	0	17	306	0	228	14	24	13	6	18	3
PCT7555	ED	847	242	0	0	1	14	227	0	178	13	19	3	3	7	4
