area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSExh	RSTot	RSWri	178:MICHELLE BRAVO	179:LONDON BREED	180:MARK LENO	181:JANE KIM	182:RICHIE GREENBERG	183:ANGELA ALIOTO	184:AMY FARAH WEISS	185:ELLEN LEE ZHOU	200:ANTOINE R. ROGERS
PCT7303	ED	986	167	-2	0	0	4	0	165	0	0	44	46	47	1	20	2	5	0
PCT7303	MV	986	318	-2	0	1	4	0	315	0	1	123	89	52	7	36	1	6	0
PCT7304	ED	972	203	0	0	0	3	0	200	1	0	67	46	54	6	23	1	2	0
PCT7304	MV	972	330	0	0	1	3	0	326	2	1	116	97	57	12	31	4	6	0
PCT7305	ED	851	171	0	0	0	4	0	167	0	0	43	44	55	7	15	1	2	0
PCT7305	MV	851	306	-1	0	2	2	0	303	1	0	127	72	52	12	37	0	2	0
PCT7306	ED	1014	179	1	0	1	3	0	174	0	0	52	41	49	6	20	0	6	0
PCT7306	MV	1014	302	-2	0	1	3	0	300	2	2	102	75	71	7	27	1	13	0
PCT7307	ED	726	143	0	0	0	1	0	142	1	1	53	43	35	1	7	0	1	0
PCT7307	MV	726	226	1	0	1	1	0	223	0	0	67	53	48	9	34	2	10	0
PCT7308	ED	598	133	0	0	0	0	0	133	0	1	46	36	33	3	12	1	1	0
PCT7308	MV	598	204	-4	0	0	3	0	205	0	1	79	69	31	8	16	1	0	0
PCT7309	ED	826	160	0	0	0	2	0	158	0	1	54	40	43	6	14	0	0	0
PCT7309	MV	826	209	3	0	0	2	0	204	0	0	70	64	44	6	19	1	0	0
PCT7311	ED	901	175	0	0	0	1	0	174	0	2	62	55	34	5	13	0	3	0
PCT7311	MV	901	266	0	0	1	4	0	261	2	0	86	86	59	4	19	1	4	0
PCT7312	ED	810	128	0	0	0	1	0	127	0	0	52	40	18	5	10	1	1	0
PCT7312	MV	810	332	1	0	4	6	0	321	1	0	136	88	52	9	27	2	6	0
PCT7313	ED	925	135	0	0	0	5	0	130	0	1	42	33	39	0	13	2	0	0
PCT7313	MV	925	315	-2	0	1	8	0	308	0	0	103	83	61	16	27	1	17	0
PCT7314	ED	760	92	1	0	0	2	0	89	1	1	24	23	23	2	4	0	11	0
PCT7314	MV	760	213	-4	0	0	2	0	215	0	0	68	43	58	5	6	0	35	0
PCT7315	ED	725	119	0	0	1	2	0	116	0	0	23	34	47	1	7	1	3	0
PCT7315	MV	725	178	-1	0	0	2	0	177	1	0	58	47	38	3	13	2	15	0
