area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	22:PAUL MIYAMOTO
PCT7514	ED	901	87	0	0	20	0	67	0	67
PCT7514	MV	901	234	0	0	63	0	171	0	171
PCT7514	TO	901	321	0	0	83	0	238	0	238
PCT7515	ED	852	97	0	0	28	0	69	0	69
PCT7515	MV	852	241	0	0	78	0	163	0	163
PCT7515	TO	852	338	0	0	106	0	232	0	232
PCT7516	ED	906	112	0	0	27	0	85	0	85
PCT7516	MV	906	359	0	0	105	0	254	0	254
PCT7516	TO	906	471	0	0	132	0	339	0	339
PCT7518	ED	1754	328	0	0	109	0	219	0	219
PCT7518	MV	1754	563	0	0	208	0	355	0	355
PCT7518	TO	1754	891	0	0	317	0	574	0	574
PCT7519	ED	709	116	0	0	44	0	72	0	72
PCT7519	MV	709	204	0	0	71	0	133	0	133
PCT7519	TO	709	320	0	0	115	0	205	0	205
PCT7521	ED	761	135	0	0	42	0	93	0	93
PCT7521	MV	761	248	0	0	94	0	154	0	154
PCT7521	TO	761	383	0	0	136	0	247	0	247
PCT7522	ED	1464	290	0	0	105	0	185	0	185
PCT7522	MV	1464	424	0	0	144	0	280	0	280
PCT7522	TO	1464	714	0	0	249	0	465	0	465
PCT7524	ED	606	98	0	0	27	0	71	0	71
PCT7524	MV	606	167	0	0	47	0	120	0	120
PCT7524	TO	606	265	0	0	74	0	191	0	191
PCT7525	ED	762	97	0	0	19	0	78	0	78
PCT7525	MV	762	191	0	0	62	0	129	0	129
PCT7525	TO	762	288	0	0	81	0	207	0	207
PCT7526	ED	974	125	0	0	43	0	82	0	82
PCT7526	MV	974	297	0	0	99	0	198	0	198
PCT7526	TO	974	422	0	0	142	0	280	0	280
PCT7527	ED	689	120	0	0	40	0	80	0	80
PCT7527	MV	689	215	0	0	75	0	140	0	140
PCT7527	TO	689	335	0	0	115	0	220	0	220
PCT7529	ED	906	172	0	0	62	0	110	0	110
PCT7529	MV	906	295	0	0	120	0	175	0	175
PCT7529	TO	906	467	0	0	182	0	285	0	285
PCT7531	ED	839	116	0	0	46	0	70	0	70
PCT7531	MV	839	276	0	0	105	0	171	0	171
PCT7531	TO	839	392	0	0	151	0	241	0	241
PCT7532	ED	792	114	0	0	31	0	83	0	83
PCT7532	MV	792	221	0	0	62	0	159	0	159
PCT7532	TO	792	335	0	0	93	0	242	0	242
PCT7533	ED	936	201	0	0	73	0	128	0	128
PCT7533	MV	936	275	0	0	105	0	170	0	170
