area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	26:JENNY LAM	27:KIRSTEN STROBEL	28:ROBERT K. COLEMAN
PCT7525	ED	762	97	0	1	15	81	0	51	19	11
PCT7525	MV	762	191	0	1	44	146	0	108	25	13
PCT7525	TO	762	288	0	2	59	227	0	159	44	24
PCT7526	ED	974	125	0	0	30	95	0	58	21	16
PCT7526	MV	974	297	0	0	77	220	0	176	24	20
PCT7526	TO	974	422	0	0	107	315	0	234	45	36
PCT7527	ED	689	123	0	1	33	89	0	53	19	17
PCT7527	MV	689	212	0	2	54	156	0	112	24	20
PCT7527	TO	689	335	0	3	87	245	0	165	43	37
PCT7529	ED	906	172	0	0	34	138	0	88	33	17
PCT7529	MV	906	294	0	0	86	208	0	154	35	19
PCT7529	TO	906	466	0	0	120	346	0	242	68	36
PCT7531	ED	839	116	0	0	35	81	0	53	22	6
PCT7531	MV	839	275	0	0	83	192	0	154	30	8
PCT7531	TO	839	391	0	0	118	273	0	207	52	14
PCT7532	ED	792	114	0	0	25	89	0	59	18	12
PCT7532	MV	792	222	0	0	36	186	0	151	28	7
PCT7532	TO	792	336	0	0	61	275	0	210	46	19
PCT7533	ED	936	202	0	0	51	151	0	104	29	18
PCT7533	MV	936	275	0	0	76	199	0	156	24	19
PCT7533	TO	936	477	0	0	127	350	0	260	53	37
PCT7534	ED	881	153	0	0	53	100	0	67	18	15
PCT7534	MV	881	237	0	0	63	174	0	123	32	19
PCT7534	TO	881	390	0	0	116	274	0	190	50	34
PCT7536	ED	1594	319	0	0	86	233	0	162	51	20
PCT7536	MV	1594	496	0	2	126	368	0	285	45	38
PCT7536	TO	1594	815	0	2	212	601	0	447	96	58
PCT7537	ED	1472	302	0	0	85	217	0	153	41	23
PCT7537	MV	1472	438	0	0	115	323	0	257	47	19
PCT7537	TO	1472	740	0	0	200	540	0	410	88	42
PCT7539	ED	906	233	0	0	72	161	0	113	26	22
PCT7539	MV	906	279	0	0	86	193	0	162	22	9
PCT7539	TO	906	512	0	0	158	354	0	275	48	31
PCT7541	ED	769	136	0	0	41	95	0	65	19	11
PCT7541	MV	769	248	0	2	73	173	0	138	20	15
PCT7541	TO	769	384	0	2	114	268	0	203	39	26
PCT7543	ED	1718	252	0	1	67	184	0	121	38	25
PCT7543	MV	1718	549	0	0	132	417	0	328	56	33
PCT7543	TO	1718	801	0	1	199	601	0	449	94	58
PCT7544	ED	892	152	0	1	42	109	0	77	24	8
PCT7544	MV	892	283	0	2	68	213	0	161	35	17
PCT7544	TO	892	435	0	3	110	322	0	238	59	25
PCT7545	ED	877	139	0	0	40	99	0	68	21	10
PCT7545	MV	877	277	0	1	60	216	0	161	39	16
PCT7545	TO	877	416	0	1	100	315	0	229	60	26
PCT7546	ED	1900	340	0	1	90	249	0	169	57	23
PCT7546	MV	1900	672	0	6	156	510	0	381	86	43
PCT7546	TO	1900	1012	0	7	246	759	0	550	143	66
PCT7548	ED	1027	198	0	0	53	145	0	105	29	11
